TIPODE;SUBTDE;CLASE;SUBCLASE;ANO FABRICACION;TIPO COMBUSTIBLE;CODIGO MAHA;DESCRIPCION MAHA;PROMEDIO VALOR;CANTIDAD VEHICULOS
ESPECIAL;ESPECIAL;;;1986;DIESEL;1301;ODOMETRO VEHICULO;125923;9
ESPECIAL;ESPECIAL;;;1986;DIESEL;38501;OPACIDAD - VEHI. DIE;18;2
ESPECIAL;ESPECIAL;;;1998;DIESEL;1301;ODOMETRO VEHICULO;10330;3
ESPECIAL;ESPECIAL;;;1998;DIESEL;38501;OPACIDAD - VEHI. DIE;16;3
ESPECIAL;MOTO ELECTRICA;;;2014;GASOLINA;1301;ODOMETRO VEHICULO;0;1
ESPECIAL;MOTO ELECTRICA;;;2016;GASOLINA;1301;ODOMETRO VEHICULO;1432;5
ESPECIAL;MOTO ELECTRICA;;;2017;GASOLINA;1301;ODOMETRO VEHICULO;260;2
ESPECIAL;MOTO ELECTRICA;;;2018;GASOLINA;1301;ODOMETRO VEHICULO;2454;36
ESPECIAL;MOTO ELECTRICA;;;2019;GASOLINA;1301;ODOMETRO VEHICULO;4685;43
ESPECIAL;MOTO ELECTRICA;;;2020;GASOLINA;1301;ODOMETRO VEHICULO;7616;56
ESPECIAL;MOTO ELECTRICA;;;2021;GASOLINA;1301;ODOMETRO VEHICULO;2349;23
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;1301;ODOMETRO VEHICULO;0;11
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;468;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39003;O2 EN BAJAS;1;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39008;RPM EN RALENTI;852;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;166;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39503;O2 EN ALTAS RPM;1;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;1;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1942;GASOLINA;39508;RPM EN ALTAS;2445;9
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;1301;ODOMETRO VEHICULO;44586;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;743;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39003;O2 EN BAJAS;1;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;2;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39008;RPM EN RALENTI;810;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;307;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39503;O2 EN ALTAS RPM;1;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;5;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1949;GASOLINA;39508;RPM EN ALTAS;2395;2
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;1301;ODOMETRO VEHICULO;8257;14
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;519;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39003;O2 EN BAJAS;3;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;0;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39008;RPM EN RALENTI;930;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;352;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39503;O2 EN ALTAS RPM;0;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1951;GASOLINA;39508;RPM EN ALTAS;2471;6
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;1301;ODOMETRO VEHICULO;22191;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;1757;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39003;O2 EN BAJAS;3;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;5;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39008;RPM EN RALENTI;1032;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;800;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39503;O2 EN ALTAS RPM;1;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;5;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1952;GASOLINA;39508;RPM EN ALTAS;2465;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;1301;ODOMETRO VEHICULO;38010;41
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;517;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39003;O2 EN BAJAS;2;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39008;RPM EN RALENTI;909;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;385;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39503;O2 EN ALTAS RPM;1;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1954;GASOLINA;39508;RPM EN ALTAS;2480;31
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;1301;ODOMETRO VEHICULO;89241;29
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;452;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39003;O2 EN BAJAS;2;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;2;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39008;RPM EN RALENTI;848;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;224;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39503;O2 EN ALTAS RPM;1;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1955;GASOLINA;39508;RPM EN ALTAS;2511;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1957;GASOLINA;1301;ODOMETRO VEHICULO;34429;38
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1957;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;507;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1957;GASOLINA;39003;O2 EN BAJAS;2;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1957;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1957;GASOLINA;39008;RPM EN RALENTI;866;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1957;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;334;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1957;GASOLINA;39503;O2 EN ALTAS RPM;1;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1957;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1957;GASOLINA;39508;RPM EN ALTAS;2474;21
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1958;GASOLINA;1301;ODOMETRO VEHICULO;45289;18
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1958;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;407;13
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1958;GASOLINA;39003;O2 EN BAJAS;3;13
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1958;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;2;13
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1958;GASOLINA;39008;RPM EN RALENTI;961;13
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1958;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;282;13
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1958;GASOLINA;39503;O2 EN ALTAS RPM;1;13
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1958;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;13
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1958;GASOLINA;39508;RPM EN ALTAS;2482;13
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1959;GASOLINA;1301;ODOMETRO VEHICULO;54229;129
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1959;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;784;98
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1959;GASOLINA;39003;O2 EN BAJAS;3;98
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1959;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;98
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1959;GASOLINA;39008;RPM EN RALENTI;921;98
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1959;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;381;98
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1959;GASOLINA;39503;O2 EN ALTAS RPM;1;98
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1959;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;98
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1959;GASOLINA;39508;RPM EN ALTAS;2472;98
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1960;GASOLINA;1301;ODOMETRO VEHICULO;51874;171
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1960;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;689;113
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1960;GASOLINA;39003;O2 EN BAJAS;3;113
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1960;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;2;113
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1960;GASOLINA;39008;RPM EN RALENTI;898;113
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1960;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;417;113
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1960;GASOLINA;39503;O2 EN ALTAS RPM;1;113
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1960;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;113
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1960;GASOLINA;39508;RPM EN ALTAS;2475;111
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1961;GASOLINA;1301;ODOMETRO VEHICULO;53379;138
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1961;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;649;93
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1961;GASOLINA;39003;O2 EN BAJAS;2;93
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1961;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;2;93
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1961;GASOLINA;39008;RPM EN RALENTI;872;93
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1961;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;369;93
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1961;GASOLINA;39503;O2 EN ALTAS RPM;1;93
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1961;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;2;93
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1961;GASOLINA;39508;RPM EN ALTAS;2464;91
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1962;GASOLINA;1301;ODOMETRO VEHICULO;38087;52
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1962;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;466;33
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1962;GASOLINA;39003;O2 EN BAJAS;2;33
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1962;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;33
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1962;GASOLINA;39008;RPM EN RALENTI;905;33
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1962;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;315;33
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1962;GASOLINA;39503;O2 EN ALTAS RPM;1;33
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1962;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;33
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1962;GASOLINA;39508;RPM EN ALTAS;2476;32
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1963;GASOLINA;1301;ODOMETRO VEHICULO;46859;34
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1963;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;458;17
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1963;GASOLINA;39003;O2 EN BAJAS;1;17
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1963;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;17
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1963;GASOLINA;39008;RPM EN RALENTI;851;17
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1963;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;375;17
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1963;GASOLINA;39503;O2 EN ALTAS RPM;1;17
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1963;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;2;17
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1963;GASOLINA;39508;RPM EN ALTAS;2454;17
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1964;GASOLINA;1301;ODOMETRO VEHICULO;45985;338
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1964;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;566;238
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1964;GASOLINA;39003;O2 EN BAJAS;2;238
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1964;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;238
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1964;GASOLINA;39008;RPM EN RALENTI;918;238
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1964;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;336;238
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1964;GASOLINA;39503;O2 EN ALTAS RPM;1;238
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1964;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;238
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1964;GASOLINA;39508;RPM EN ALTAS;2479;234
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1965;GASOLINA;1301;ODOMETRO VEHICULO;70890;516
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1965;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;613;347
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1965;GASOLINA;39003;O2 EN BAJAS;2;348
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1965;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;2;348
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1965;GASOLINA;39008;RPM EN RALENTI;904;347
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1965;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;293;347
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1965;GASOLINA;39503;O2 EN ALTAS RPM;1;347
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1965;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;347
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1965;GASOLINA;39508;RPM EN ALTAS;2476;344
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1966;GASOLINA;1301;ODOMETRO VEHICULO;61633;347
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1966;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;625;235
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1966;GASOLINA;39003;O2 EN BAJAS;2;238
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1966;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;236
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1966;GASOLINA;39008;RPM EN RALENTI;929;236
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1966;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;346;235
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1966;GASOLINA;39503;O2 EN ALTAS RPM;1;235
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1966;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;235
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1966;GASOLINA;39508;RPM EN ALTAS;2485;233
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1967;GASOLINA;1301;ODOMETRO VEHICULO;55389;399
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1967;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;687;285
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1967;GASOLINA;39003;O2 EN BAJAS;2;285
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1967;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;285
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1967;GASOLINA;39008;RPM EN RALENTI;911;285
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1967;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;389;285
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1967;GASOLINA;39503;O2 EN ALTAS RPM;1;285
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1967;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;285
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1967;GASOLINA;39508;RPM EN ALTAS;2469;283
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1968;GASOLINA;1301;ODOMETRO VEHICULO;70000;603
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1968;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;562;401
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1968;GASOLINA;39003;O2 EN BAJAS;2;402
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1968;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;402
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1968;GASOLINA;39008;RPM EN RALENTI;892;401
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1968;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;326;401
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1968;GASOLINA;39503;O2 EN ALTAS RPM;1;401
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1968;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;401
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1968;GASOLINA;39508;RPM EN ALTAS;2465;396
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1969;DIESEL;1301;ODOMETRO VEHICULO;82600;4
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1969;DIESEL;38501;OPACIDAD - VEHI. DIE;13;1
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1969;GASOLINA;1301;ODOMETRO VEHICULO;63357;830
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1969;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;618;594
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1969;GASOLINA;39003;O2 EN BAJAS;2;595
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1969;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;593
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1969;GASOLINA;39008;RPM EN RALENTI;900;593
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1969;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;377;593
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1969;GASOLINA;39503;O2 EN ALTAS RPM;1;593
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1969;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;593
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1969;GASOLINA;39508;RPM EN ALTAS;2481;585
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1970;GASOLINA;1301;ODOMETRO VEHICULO;67254;885
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1970;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;583;604
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1970;GASOLINA;39003;O2 EN BAJAS;2;608
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1970;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;602
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1970;GASOLINA;39008;RPM EN RALENTI;904;602
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1970;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;372;603
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1970;GASOLINA;39503;O2 EN ALTAS RPM;1;603
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1970;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;602
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1970;GASOLINA;39508;RPM EN ALTAS;2476;596
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1971;GASOLINA;1301;ODOMETRO VEHICULO;59058;824
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1971;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;604;546
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1971;GASOLINA;39003;O2 EN BAJAS;2;548
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1971;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;547
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1971;GASOLINA;39008;RPM EN RALENTI;904;546
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1971;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;394;546
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1971;GASOLINA;39503;O2 EN ALTAS RPM;1;547
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1971;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;547
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1971;GASOLINA;39508;RPM EN ALTAS;2480;542
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1972;GASOLINA;1301;ODOMETRO VEHICULO;71699;1099
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1972;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;610;748
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1972;GASOLINA;39003;O2 EN BAJAS;2;751
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1972;GASOLINA;39005;MONOXIDO DE CARBONO (CO) RALENTI;3;748
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1972;GASOLINA;39008;RPM EN RALENTI;898;748
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1972;GASOLINA;39501;HIDROCARBUROS NO COMBUSTIONADOS (HC) 250;339;749
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1972;GASOLINA;39503;O2 EN ALTAS RPM;1;750
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1972;GASOLINA;39505;MONOXIDO DE CARBONO (CO) 2500 RPM;3;750
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1972;GASOLINA;39508;RPM EN ALTAS;2478;738
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1973;GASOLINA;1301;ODOMETRO VEHICULO;66018;2245
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1973;GASOLINA;39001;HIDROCARBUROS NO COMBUSTIONADOS (HC) RAL;631;1541
LIVIANO;AUTOMOVIL 4 TIEMPOS;;;1973;GASOLINA;39003;O2 EN BAJAS;2;1542
